Sentence,Score,Stopword
જ્યાં સુધી બી-લિસ્ટ હોરર/સસ્પેન્સ ફિલ્મો જાય છે ત્યાં સુધી તે વાસ્તવમાં ખૂબ જ યોગ્ય હોવાનું બહાર આવ્યું છે,1,?
ચોક્કસપણે તપાસવા યોગ્ય છે,1,.
સમસ્યા સ્ક્રિપ્ટની હતી,0,!
તે ભયાનક હતું,0,","
તેના વિશે બિલકુલ વિશ્વાસપાત્ર કંઈ નહોતું,0,:
હું માત્ર એક જ સસ્પેન્સ અનુભવી રહ્યો હતો કે છોકરીઓ કેટલી મંદ હતી,0,;
મન્ના ફ્રોમ હેવન એક જબરદસ્ત ફિલ્મ છે જે એક જ સમયે અનુમાનિત અને અણધારી બંને છે,1,@
દ્રશ્યો ઘણીવાર રમુજી અને પ્રસંગોપાત સ્પર્શી જાય છે કારણ કે પાત્રો તેમના જીવન અને તેઓ ક્યાં જઈ રહ્યા છે તેનું મૂલ્યાંકન કરે છે,1,'
પીઢ કલાકારોની કાસ્ટ માત્ર નોસ્ટાલ્જિયાની સફર કરતાં વધુ છે,1,""""
મને નથી લાગતું કે તમે નિરાશ થશો,1,#
"સાચું કહું તો, કોટન ક્લબ અને અનફેથફુલ પછી, આ ફિલ્મમાં લેન અને ગેરને જોવું શરમજનક હતું, કારણ કે તે ખરાબ છે",0,$
"અભિનય ખરાબ હતો, સંવાદો અત્યંત છીછરા અને અવિવેકી હતા",0,%
"તે ખૂબ અનુમાનિત હતું, એક ચિક ફ્લિક માટે પણ",0,*
ખૂબ રાજકીય રીતે યોગ્ય,0,&
ખૂબ જ નિરાશાજનક,0,+
"દૃશ્યાવલિ અને ઘર જોવાલાયક એકમાત્ર વસ્તુ હતી, કારણ કે તે સુંદર છે",1,-
"હું લેનને પ્રેમ કરું છું, પરંતુ મેં તેને ક્યારેય આટલી ખરાબ ફિલ્મમાં જોઈ નથી",0,=
દોઢ કલાક હું ઈચ્છું છું કે હું પાછો લાવી શકું,0,/
પરંતુ લેખનની દ્રષ્ટિએ તે ખૂબ જ ફ્રેશ અને બોલ્ડ છે,1, 
"અભિનય લેખન સાથે ખૂબ જ સારી રીતે મદદ કરે છે (કદાચ મૂર્ખ-સાંત બહેન વધુ સારી રીતે ભજવી શકી હોત), અને તે જોવાનો ખરેખર આનંદ છે",1,૧
દિગ્દર્શન અને સિનેમેટોગ્રાફી એટલી સારી નથી,0,૨
"), અને કેટલીકવાર તે એટલું શરમજનક હતું કે મારે દૂર જોવું પડ્યું",0,૩
દિગ્દર્શન ખૂબ દંભી લાગે છે,0,૪
"""ઓહ-તે-પરિપક્વ"" પાડોશી-છોકરી સાથેના દ્રશ્યો ખોટી જગ્યાએ છે",0,૫
અને સામાન્ય રીતે રેખાઓ અને પ્લોટ સરેરાશ એપિસોડ કરતા નબળા હોય છે,0,૬
"પછી દ્રશ્ય જ્યાં તેઓએ ચર્ચા કરી કે ટ્રમ્પેટરને કાઢી મૂકવો કે નહીં (જેના પર હત્યા માટે ખોટી રીતે આરોપ મૂકવામાં આવ્યો હતો) તે શુદ્ધ ભયાનક છે, ખરેખર મૂર્ખ છે",0,૭
"જો કે ""પ્રીલ્યુડ"" ને કેટલીક તાળીઓ આપવી જોઈએ",1,૮
મને તે ખરેખર ગમ્યું,1,૯
એક મહાન દિગ્દર્શકની શાનદાર ફિલ્મ,1,૦
મૂવીએ તમને તમારી સીટની કિનારે બેસાડ્યા હતા અને તમને રાતના અંતે તમારી કાર પર જવા માટે થોડો ડર લાગતો હતો,1,1
ફિલ્મનું સંગીત પણ ખરેખર સરસ છે,1,2
હું કોઈને પણ જઈને જોવાની સલાહ આપીશ,1,3
મને આ ફિલ્મ ખૂબ જ ગમી,1,4
મારી એકમાત્ર સમસ્યા એ છે કે મને લાગ્યું કે વિલનની ભૂમિકા ભજવનાર અભિનેતાનું ભાડું ઓછું હતું,0,5
તેણે મારા વિશ્વને હચમચાવી નાખ્યું અને કોઈ પણ સામાજિક અથવા ભૌતિક આઉટલેટ વિનાના કોઈપણ માટે તે ચોક્કસપણે જોવું આવશ્યક છે,1,6
"જો કે, આ એકંદરે, આ એક જબરદસ્ત કંટાળાજનક ફિલ્મ હતી તે હકીકત માટે બનાવ્યું ન હતું",0,7
"આ ફિલ્મમાં બેન એફ્લેક અને સાન્ડ્રા બુલોક વચ્ચે કોઈ રસાયણશાસ્ત્ર ન હતું, અને હું સમજી શકતો ન હતો કે તે શા માટે તેની પત્નીને આ બચ્ચા માટે છોડી દેવાનું પણ વિચારશે કે જેના દ્વારા તેને પછાડવામાં આવ્યો હતો",0,8
મૂવીમાં એવી ઘણી ક્ષણો હતી કે જેને ત્યાં રહેવાની જરૂર ન હતી અને તે અત્યંત ધીમી ગતિએ આગળ વધી રહી હતી,0,9
"આ ""માય બેસ્ટ ફ્રેન્ડ્સ વેડિંગ"" ની નબળી રીમેક હતી",0,0
"એકંદરે, એક મહાન નિરાશા",0,
"હું માની શકતો નથી કે કલાકારો આ ""ફિલ્મ"" કરવા માટે સંમત થયા",0,
હું માનું છું કે આ ડ્રિબલને પ્રસારિત કરનાર નેટવર્ક પર કોઈએ તેને મૂકતા પહેલા જોયું નથી,0,
"IMDB રેટિંગ ભયાનક માટે માત્ર 1 જેટલું નીચું જાય છે, આવા કિસ્સાઓમાં કેટલાક નકારાત્મક નંબરો મેળવવાનો સમય આવી ગયો છે",0,
"મેં ગઈ રાત્રે ""મિરરમાસ્ક"" જોયું અને તે એક અસંતોષકારક અનુભવ હતો",0,
"કમનસીબે, દિશાના બિનઅનુભવીનો અર્થ એ હતો કે દ્રશ્ય પછીનું દ્રશ્ય નાટકીય તણાવ અથવા સંઘર્ષના માર્ગમાં થોડું પસાર થયું",0,
"આ ફિલ્મની કેન્દ્રીય થીમ છે અને તેને અયોગ્ય રીતે, સ્ટીરિયોટાઇપિક રીતે અને કલ્પનાના ઊંડાણ વિના સંભાળવામાં આવી છે",0,
વિશ્વના તમામ સુંદર ચિત્રો કામના એક ભાગ માટે બનાવી શકતા નથી જે મૂળમાં ખામીયુક્ત છે,0,
"જીવન વિશે રડતા અને રડતા ખૂબ જ સુંદર ઉચ્ચ શાળાના વિદ્યાર્થીઓના સમૂહને અનુસરીને, તે સમયનો અડધો કલાક બગાડ છે",0,
"તમે તેમની સાથે સંબંધ બાંધી શકતા નથી, તમે ભાગ્યે જ તેમને સમજી શકો છો",0,
આ ચોક્કસપણે અન્ય લોકો સાથે જોવા અને શેર કરવા યોગ્ય સંપ્રદાય ક્લાસિક છે,1,
"આ મૂવી એક શુદ્ધ આપત્તિ છે, વાર્તા મૂર્ખ છે અને એડિટિંગ મેં જોયું છે તે સૌથી ખરાબ છે, તે તમને અવિશ્વસનીય રીતે મૂંઝવણમાં મૂકે છે",0,
માછલી ખરાબ રીતે બનાવવામાં આવી છે અને તેના કેટલાક પાણીની અંદરના શોટને ફિલ્મમાં હજાર વખત પુનરાવર્તિત કરવામાં આવ્યા છે,0,
"ખરેખર, ખરેખર ખરાબ ફિલ્મ",0,
"અભિનય ભયંકર છે, અને લેખન વધુ ખરાબ છે",0,
મેં ખૂબ ચૂકવણી કરી,0,
તે એક વાસ્તવિક સારવાર છે,1,
"ફરીથી, કોઈ પ્લોટ નથી",0,
મને આવી ફિલ્મો નફરત છે,0,
"અરે વાહ, ફિલ્મ ખૂબ ખૂબ sucked",0,
"જો તમે આ મૂવી જોવા જાવ છો, તો એક ઓશીકું અથવા ગર્લફ્રેન્ડ/બોયફ્રેન્ડ લઈને આવો જેથી તમે તમારી અંદર વ્યસ્ત રહે",0,
ભયાનક,0,
મને નથી લાગતું કે હું ક્યારેય કોઈ ફિલ્મમાં ગયો હોઉં અને તેને આટલો નાપસંદ કર્યો હોય,0,
હું ચોક્કસપણે આ ભેદનો અર્થ સારી રીતે નથી કરતો,0,
હું આનો અર્થ ભયંકર રીતે કરું છું,0,
આ ફિલ્મમાં કોઈ રિડીમિંગ ફીચર્સ નથી,0,
બધું જ ભયાનક છે,0,
વાર્તા મૂર્ખતાની બહાર છે,0,
બાળકો હેરાન કરે છે,0,
મુખ્ય માણસ કરિશ્મા-મુક્ત છે,0,
"કોઈપણ સ્તરે યોગ્યતા વિના સંપૂર્ણપણે, આ ત્રાસ સમાન છે",0,
હું તેને ફરીથી કહીશ પણ આ ત્રાસ છે,0,
કદાચ આ અત્યાચાર માટે વાજબી સમજૂતી હશે,0,
સ્વ-શોધની સુખદ સફર નથી,0,
અત્યંત અનિચ્છનીય,0,
"જો આ આધાર મૂર્ખ લાગે છે, તો તે એટલા માટે છે કારણ કે તે છે",0,
"હા, તે ખરાબ છે",0,
ભલામણ કરવા માટે કંઈ જ નથી,0,
"આ મૂવી લેખનને કારણે સહન કરી, તેને વધુ સસ્પેન્સની જરૂર હતી",0,
ઘણા બધા ક્લોઝ અપ્સ હતા,0,
પરંતુ તે સિવાય મૂવી ખેંચી જતી હતી અને હીરો ખરેખર તેમની સ્વતંત્રતા માટે કામ કરતા ન હતા,0,
પરંતુ આ મૂવી ચોક્કસપણે સરેરાશથી ઓછું ભાડું છે,0,
આ ફિલ્મ ખરાબ છે,0,
જેથી ખરાબ,0,
ફિલ્મ ઘણી લાંબી છે,0,
આ ચોક્કસપણે ખરાબ મુદ્દાઓ પૈકી એક છે,0,
મને જે ફિલ્મ મળી હતી તે તેની ઉંમર માટે સારી ગુણવત્તાવાળી ફિલ્મ હતી,1,
જ્હોન વેને મૂવી ઇન્ડસ્ટ્રીમાં આટલા યુવાન હોવા બદલ અકલ્પનીય કામ કર્યું,1,
મને લાગે છે કે જોન વેઇનની જૂની ફિલ્મ જોવી જ જોઈએ,1,
હું ખરેખર જોતો નથી કે કોઈ આ મૂવી કેવી રીતે માણી શકે,0,
મને નથી લાગતું કે જંકના આ સ્વ-આનંદી ભાગ જેટલી કંટાળાજનક ફિલ્મ મેં ક્યારેય જોઈ હોય,0,
"કદાચ તે વધુ સારું હોત જો દિગ્દર્શકે ફિલ્મનો મોટાભાગનો ભાગ તેની પોતાની આર્ટ વર્ક દર્શાવવામાં ન ખર્ચ્યો હોત, જે ખરેખર તેટલી નોંધપાત્ર નથી",0,
"બીજી વસ્તુ જે મને ખરેખર ગમતી ન હતી તે એ છે કે જ્યારે કોઈ પાત્રના ચહેરા પર મુક્કો મારવામાં આવે છે, ત્યારે તરત જ એક ગેલન લોહી વહેતું હતું",0,
તેનું પ્રદર્શન ફક્ત જીનિયસ છે,1,
પોપડો સારો નથી,0,
સ્વાદિષ્ટ નથી અને રચના માત્ર બીભત્સ હતી,0,
રિક સ્ટીવની ભલામણથી મે મહિનાના અંતમાં બેંક રજાઓ દરમિયાન રોકાયા અને તેને ગમ્યું,1,
મેનુ પર પસંદગી મહાન હતી અને તેથી કિંમતો હતી,1,
હવે હું ગુસ્સે થઈ રહ્યો છું અને મને મારો ડામ ફો જોઈએ છે,0,
પ્રામાણિકતા તે તાજા સ્વાદ ન હતી,0,
બટાકા રબર જેવા હતા અને તમે કહી શકો કે તેઓ ગરમ પાણીની નીચે રાખવામાં આવે તે પહેલાં જ બનેલા હતા,0,
ફ્રાઈસ પણ મહાન હતા,1,
એક મહાન સ્પર્શ,1,
સેવા ખૂબ જ ઝડપી હતી,1,
પાછા ન જતા,0,
કેશિયરને કોઈ પરવા નહોતી કે મારે શું કહેવું છે તે હજી પણ વધુ પડતી કિંમતમાં સમાપ્ત થઈ ગયું છે,0,
હું નારાજ હતો કારણ કે મને ખાતરી હતી કે તે માનવ વાળ છે,0,
હું ચોંકી ગયો હતો કારણ કે કોઈ ચિહ્નો માત્ર રોકડ સૂચવે છે,0,
ખૂબ આગ્રહણીય,1,
વેઇટ્રેસ સેવામાં થોડી ધીમી હતી,0,
"આ સ્થાન તમારા સમય માટે યોગ્ય નથી, વેગાસને એકલા દો",0,
બિલકુલ ન ગમ્યું,0,
"ખોરાક, અમેઝિંગ",1,
સેવા પણ સુંદર છે,1,
તેથી તેઓએ પ્રદર્શન કર્યું,1,
#NAME?,0,
દિવાલના આ છિદ્રમાં મહાન મેક્સીકન સ્ટ્રીટ ટેકોઝ અને મૈત્રીપૂર્ણ સ્ટાફ છે,1,
"અમારું ભોજન મેળવવા માટે એક કલાકનો સમય લાગ્યો રેસ્ટોરન્ટમાં ફક્ત 4 ટેબલ મારો ખોરાક લ્યુક ગરમ હતો, અમારું વિચ્છેદ આજુબાજુ ચાલી રહ્યું હતું જેમ કે તે સંપૂર્ણપણે ભરાઈ ગયો હતો",0,
સૌથી ખરાબ સૅલ્મોન સાશિમી હતું,0,
"ઉપરાંત 23 માટે બર્ગર, ફ્રાઈસ અને બીયર જેવા કોમ્બોઝ છે જે એક યોગ્ય ડીલ છે",1,
મને આ સ્થળ અકસ્માતે મળ્યું અને હું ખુશ થઈ શક્યો નહીં,1,
"કેટલાક પરિચિત પબ ફૂડનો ડંખ લેવા માટે એક સારી ઝડપી જગ્યા જેવું લાગે છે, પરંતુ તમારી તરફેણ કરો અને બીજે જુઓ",0,
"એકંદરે, મને આ સ્થાન ખૂબ ગમે છે",1,
રેસ્ટોરન્ટની એકમાત્ર રિડીમિંગ ગુણવત્તા એ હતી કે તે ખૂબ સસ્તું હતું,1,
પૂરતા ભાગો અને સારી કિંમતો,1,
"નબળી સેવા, વેઈટરે જ્યારે પણ તે ટેબલ પર આવે ત્યારે હું મૂર્ખ હતો તેવું મને અનુભવ્યું",0,
સેવા sucks,0,
ઝીંગા ટેન્ડર અને ભેજવાળી,1,
મને ફરીથી તે સંસ્થામાં ખેંચી જાય તેટલો સારો સોદો નથી,0,
આ બાજુઓ સારી હતી કે કેમ તે નક્કી કરવું મુશ્કેલ છે કારણ કે અમે ઓગળેલા સ્ટાયરોફોમથી કચડી ગયા હતા અને બીમાર થવાના ડરથી અમે તેને ખાવા માંગતા ન હતા,0,
"સકારાત્મક નોંધ પર, અમારું સર્વર ખૂબ જ સચેત હતું અને શ્રેષ્ઠ સેવા પ્રદાન કરે છે",1,
"રજીસ્ટર પાછળ કેટલાક ખરાબ લોકો સાથે, અણગમાના થીજી ગયેલા પક્સ",0,
મને ગમતી એકમાત્ર વસ્તુ પ્રાઇમ રીબ અને ડેઝર્ટ વિભાગ હતી,1,
તે ખૂબ જ ખરાબ છે કે ખોરાક ખૂબ જ સામાન્ય છે,0,
"બર્ગર સારું બીફ છે, બરાબર રાંધવામાં આવે છે",1,
"ગ્રીક ડ્રેસિંગ સાથે મારી બાજુનું ગ્રીક સલાડ ખૂબ જ સ્વાદિષ્ટ હતું, અને પિટા અને હમસ ખૂબ જ તાજું હતું",1,
અમે દુર્લભ બતકનો ઓર્ડર આપ્યો હતો અને તે અંદરથી ગુલાબી અને ટેન્ડર હતું અને બહારથી સરસ ચાર હતું,1,
જ્યારે તેમને ખબર પડી કે મારા પતિએ તેમના સનગ્લાસ ટેબલ પર મૂકી દીધા છે ત્યારે તે અમારી પાછળ દોડી આવ્યા હતા,1,
"તેઓ ગ્રાહકો પ્રત્યે ભયાનક વલણ ધરાવે છે, અને જ્યારે ગ્રાહકો તેમના ભોજનનો આનંદ લેતા નથી ત્યારે દરેક સાથે વાત કરે છે",0,
ડાઉનટાઉન વેગાસમાં હાર્ટ એટેક ગ્રીલ એ રેસ્ટોરન્ટ માટે એકદમ સપાટ બહાનું છે,0,
ખૂબ સીફૂડ નથી અને તળિયે પાસ્તાની 5 સ્ટ્રીંગની જેમ,0,
"સલાડમાં સ્કેલોપને વધુ શક્તિ ન આપવા માટે માત્ર યોગ્ય માત્રામાં ચટણી હતી, જે સંપૂર્ણ રીતે રાંધવામાં આવી હતી",1,
"ફાટેલું કેળું માત્ર ફાટેલું જ નહોતું, પણ પેટ્રીફાઈડ અને સ્વાદહીન હતું",0,
હું તમને 10 મિનિટ સુધી લહેરાવવામાં સંઘર્ષ કરું તે પહેલાં ઓછામાં ઓછું મારું પાણી ફરીથી ભરવાનું વિચારો,0,
કોકટેલ બધી હાથથી બનાવેલી અને સ્વાદિષ્ટ હોય છે,1,
અમે ચોક્કસપણે અહીં પાછા ફરીશું,1,
અમને આ સ્થાન મળ્યું હોવાથી અમે ખૂબ જ ખુશ છીએ,1,
"મહાન ખોરાક અને સેવા, વિશાળ ભાગો અને તેઓ લશ્કરી ડિસ્કાઉન્ટ આપે છે",1,
અમને ખોરાક મળ્યો અને દેખીતી રીતે તેઓએ મીઠું વિશે ક્યારેય સાંભળ્યું ન હતું અને માછલી પર સખત મારપીટ ચાવવાની હતી,0,
